slug,title,episode_date,episode_type,transcript_url,transcript_available,raw_segments,usable_segments,page_title,fetch_status,cache_path
the-10-wildest-reboots-in-movie-history-and-the-bride-plus-a-secret-agent-second-look-and-the-best-doc-contenders,The 10 Wildest Reboots in Movie History and The Bride! Plus: A Secret Agent Second Look and the Best Doc Contenders.,2026-03-06,standard,https://podscripts.co/podcasts/the-big-picture/the-10-wildest-reboots-in-movie-history-and-the-bride-plus-a-secret-agent-second-look-and-the-best-doc-contenders,TRUE,352,349,The Big Picture - The 10 Wildest Reboots in Movie History and The Bride! Plus: A Secret Agent Second Look and the Best Doc Contenders.,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-10-wildest-reboots-in-movie-history-and-the-bride-plus-a-secret-agent-second-look-and-the-best-doc-contenders.html
the-2026-alternative-oscars-aka-the-6th-annual-big-picks-plus-the-craziest-awards-season-in-years,"The 2026 Alternative Oscars, a.k.a. the 6th Annual Big Picks! Plus: The Craziest Awards Season in Years.",2026-03-03,oscar,https://podscripts.co/podcasts/the-big-picture/the-2026-alternative-oscars-aka-the-6th-annual-big-picks-plus-the-craziest-awards-season-in-years,TRUE,606,605,"The Big Picture - The 2026 Alternative Oscars, a.k.a. the 6th Annual Big Picks! Plus: The Craziest Awards Season in Years.",ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-2026-alternative-oscars-aka-the-6th-annual-big-picks-plus-the-craziest-awards-season-in-years.html
paramount-wins-warner-bros-now-what-plus-scream-7-heat-2-and-nirvanna-the-band-the-show-the-movie-with-matt-johnson,"Paramount Wins Warner Bros. Now What? Plus: Scream 7, Heat 2, and Nirvanna the Band the Show the Movie With Matt Johnson!",2026-02-27,standard,https://podscripts.co/podcasts/the-big-picture/paramount-wins-warner-bros-now-what-plus-scream-7-heat-2-and-nirvanna-the-band-the-show-the-movie-with-matt-johnson,TRUE,334,330,"The Big Picture - Paramount Wins Warner Bros. Now What? Plus: Scream 7, Heat 2, and Nirvanna the Band the Show the Movie With Matt Johnson!",ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_paramount-wins-warner-bros-now-what-plus-scream-7-heat-2-and-nirvanna-the-band-the-show-the-movie-with-matt-johnson.html
the-final-best-picture-power-rankings-and-a-sinners-second-look-with-autumn-durald-arkapaw,The Final Best Picture Power Rankings and a Sinners Second Look With Autumn Durald Arkapaw!,2026-02-24,oscar,https://podscripts.co/podcasts/the-big-picture/the-final-best-picture-power-rankings-and-a-sinners-second-look-with-autumn-durald-arkapaw,TRUE,382,380,The Big Picture - The Final Best Picture Power Rankings and a Sinners Second Look With Autumn Durald Arkapaw!,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-final-best-picture-power-rankings-and-a-sinners-second-look-with-autumn-durald-arkapaw.html
garbage-crime-returns-the-post-heat-movie-awards-and-crime-101-with-bart-layton,Garbage Crime Returns! The Post-Heat Movie Awards and Crime 101 With Bart Layton!,2026-02-20,interview,https://podscripts.co/podcasts/the-big-picture/garbage-crime-returns-the-post-heat-movie-awards-and-crime-101-with-bart-layton,TRUE,327,324,The Big Picture - Garbage Crime Returns! The Post-Heat Movie Awards and Crime 101 With Bart Layton!,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_garbage-crime-returns-the-post-heat-movie-awards-and-crime-101-with-bart-layton.html
the-oscars-snubs-draft-plus-sirat,The Oscars Snubs Draft. Plus: Sirt!,2026-02-16,oscar,https://podscripts.co/podcasts/the-big-picture/the-oscars-snubs-draft-plus-sirat,TRUE,566,566,The Big Picture - The Oscars Snubs Draft. Plus: Sirt!,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-oscars-snubs-draft-plus-sirat.html
the-heaving-wuthering-heights-and-the-throbbing-pillion-a-very-horny-valentines-day-double-feature,The Heaving Wuthering Heights and the Throbbing Pillion: A Very Horny Valentine's Day Double Feature,2026-02-13,interview,https://podscripts.co/podcasts/the-big-picture/the-heaving-wuthering-heights-and-the-throbbing-pillion-a-very-horny-valentines-day-double-feature,TRUE,302,302,The Big Picture - The Heaving Wuthering Heights and the Throbbing Pillion: A Very Horny Valentine's Day Double Feature,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-heaving-wuthering-heights-and-the-throbbing-pillion-a-very-horny-valentines-day-double-feature.html
mamma-mia-meets-the-strangers-its-a-movie-swap,Mamma Mia! Meets The Strangers'! Its a Movie Swap!,2026-02-06,interview,https://podscripts.co/podcasts/the-big-picture/mamma-mia-meets-the-strangers-its-a-movie-swap,TRUE,273,272,The Big Picture - Mamma Mia! Meets The Strangers'! Its a Movie Swap!,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_mamma-mia-meets-the-strangers-its-a-movie-swap.html
dumpuary-is-dead-these-movies-killed-it-plus-the-best-movies-at-sundance-and-the-catherine-ohara-hall-of-fame,Dumpuary Is Dead. These Movies Killed It. Plus: The Best Movies at Sundance and the Catherine OHara Hall of Fame.,2026-02-03,ranking,https://podscripts.co/podcasts/the-big-picture/dumpuary-is-dead-these-movies-killed-it-plus-the-best-movies-at-sundance-and-the-catherine-ohara-hall-of-fame,TRUE,355,355,The Big Picture - Dumpuary Is Dead. These Movies Killed It. Plus: The Best Movies at Sundance and the Catherine OHara Hall of Fame.,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_dumpuary-is-dead-these-movies-killed-it-plus-the-best-movies-at-sundance-and-the-catherine-ohara-hall-of-fame.html
the-10-most-misused-stars-in-hollywood-and-the-gnarly-magic-of-send-help,The 10 Most Misused Stars in Hollywood and the Gnarly Magic of Send Help,2026-01-30,standard,https://podscripts.co/podcasts/the-big-picture/the-10-most-misused-stars-in-hollywood-and-the-gnarly-magic-of-send-help,TRUE,335,335,The Big Picture - The 10 Most Misused Stars in Hollywood and the Gnarly Magic of Send Help,ok,/Volumes/Jake EH/big_picture_podcast_analysis_cache/transcript_the-10-most-misused-stars-in-hollywood-and-the-gnarly-magic-of-send-help.html
